question_id,image,gt,pred,raw_text
0,ISIC_0031067.jpg,nv,nv,nv
1,ISIC_0030818.jpg,mel,nv,nv
2,ISIC_0032485.jpg,nv,nv,nv
3,ISIC_0033520.jpg,mel,nv,nv
4,ISIC_0031922.jpg,akiec,nv,nv
5,ISIC_0033769.jpg,nv,nv,nv
6,ISIC_0026469.jpg,nv,nv,nv
7,ISIC_0029471.jpg,nv,nv,nv
8,ISIC_0028833.jpg,nv,nv,nv
9,ISIC_0025087.jpg,nv,nv,nv
10,ISIC_0027463.jpg,bkl,nv,nv
11,ISIC_0030774.jpg,nv,nv,nv
12,ISIC_0030783.jpg,bkl,bkl,bkl
13,ISIC_0030001.jpg,nv,nv,nv
14,ISIC_0034176.jpg,nv,nv,nv
15,ISIC_0025051.jpg,nv,nv,nv
16,ISIC_0027922.jpg,nv,nv,nv
17,ISIC_0033972.jpg,nv,nv,nv
18,ISIC_0028863.jpg,nv,nv,nv
19,ISIC_0030933.jpg,nv,nv,nv
20,ISIC_0025477.jpg,nv,nv,nv
21,ISIC_0033638.jpg,mel,nv,nv
22,ISIC_0030137.jpg,bkl,bkl,bkl
23,ISIC_0033356.jpg,nv,nv,nv
24,ISIC_0027791.jpg,nv,nv,nv
25,ISIC_0029702.jpg,nv,nv,nv
26,ISIC_0027224.jpg,nv,nv,nv
27,ISIC_0033281.jpg,nv,nv,nv
28,ISIC_0032049.jpg,nv,nv,nv
29,ISIC_0033932.jpg,nv,nv,nv
30,ISIC_0033845.jpg,nv,nv,nv
31,ISIC_0032271.jpg,bkl,nv,nv
32,ISIC_0025036.jpg,nv,nv,nv
33,ISIC_0032837.jpg,nv,nv,nv
34,ISIC_0026276.jpg,bkl,nv,nv
35,ISIC_0032145.jpg,nv,nv,nv
36,ISIC_0024578.jpg,nv,nv,nv
37,ISIC_0025570.jpg,nv,nv,nv
38,ISIC_0025394.jpg,mel,nv,nv
39,ISIC_0026836.jpg,nv,nv,nv
40,ISIC_0030387.jpg,akiec,nv,nv
41,ISIC_0025507.jpg,bkl,nv,nv
42,ISIC_0026432.jpg,nv,nv,nv
43,ISIC_0030672.jpg,nv,nv,nv
44,ISIC_0028085.jpg,bcc,nv,nv
45,ISIC_0030485.jpg,nv,nv,nv
46,ISIC_0027543.jpg,nv,nv,nv
47,ISIC_0031195.jpg,nv,nv,nv
48,ISIC_0028743.jpg,nv,nv,nv
49,ISIC_0032884.jpg,nv,nv,nv
50,ISIC_0033619.jpg,mel,nv,nv
51,ISIC_0027379.jpg,nv,nv,nv
52,ISIC_0026805.jpg,nv,nv,nv
53,ISIC_0027744.jpg,bcc,nv,nv
54,ISIC_0025771.jpg,df,nv,nv
55,ISIC_0031172.jpg,nv,nv,nv
56,ISIC_0032857.jpg,bcc,nv,nv
57,ISIC_0024775.jpg,nv,nv,nv
58,ISIC_0033395.jpg,nv,nv,nv
59,ISIC_0032246.jpg,bcc,nv,nv
60,ISIC_0030125.jpg,nv,nv,nv
61,ISIC_0025611.jpg,mel,nv,nv
62,ISIC_0027789.jpg,nv,nv,nv
63,ISIC_0031796.jpg,nv,nv,nv
64,ISIC_0032435.jpg,nv,nv,nv
65,ISIC_0025717.jpg,nv,nv,nv
66,ISIC_0024665.jpg,bcc,nv,nv
67,ISIC_0025595.jpg,nv,nv,nv
68,ISIC_0027858.jpg,bcc,bkl,bkl
69,ISIC_0029397.jpg,mel,nv,nv
70,ISIC_0026779.jpg,nv,nv,nv
71,ISIC_0032394.jpg,nv,nv,nv
72,ISIC_0032788.jpg,nv,nv,nv
73,ISIC_0028921.jpg,nv,nv,nv
74,ISIC_0029996.jpg,nv,nv,nv
75,ISIC_0028806.jpg,nv,nv,nv
76,ISIC_0031667.jpg,nv,nv,nv
77,ISIC_0028028.jpg,nv,nv,nv
78,ISIC_0027786.jpg,bcc,bcc,bcc
79,ISIC_0030633.jpg,nv,nv,nv
80,ISIC_0024977.jpg,nv,nv,nv
81,ISIC_0025021.jpg,nv,nv,nv
82,ISIC_0031781.jpg,nv,nv,nv
83,ISIC_0028280.jpg,nv,nv,nv
84,ISIC_0027405.jpg,nv,nv,nv
85,ISIC_0033610.jpg,nv,nv,nv
86,ISIC_0033404.jpg,nv,nv,nv
87,ISIC_0033891.jpg,df,nv,nv
88,ISIC_0024352.jpg,nv,nv,nv
89,ISIC_0031126.jpg,nv,nv,nv
90,ISIC_0026969.jpg,nv,nv,nv
91,ISIC_0025513.jpg,bcc,nv,nv
92,ISIC_0032270.jpg,vasc,nv,nv
93,ISIC_0034159.jpg,mel,nv,nv
94,ISIC_0031628.jpg,nv,nv,nv
95,ISIC_0028729.jpg,nv,nv,nv
96,ISIC_0024627.jpg,nv,nv,nv
97,ISIC_0028227.jpg,mel,nv,nv
98,ISIC_0024763.jpg,akiec,nv,nv
99,ISIC_0026009.jpg,mel,nv,nv
100,ISIC_0030673.jpg,nv,nv,nv
101,ISIC_0025264.jpg,akiec,nv,nv
102,ISIC_0029590.jpg,nv,nv,nv
103,ISIC_0030030.jpg,nv,nv,nv
104,ISIC_0031522.jpg,bkl,bcc,bcc
105,ISIC_0025825.jpg,akiec,bkl,bkl
106,ISIC_0025648.jpg,nv,nv,nv
107,ISIC_0028426.jpg,nv,nv,nv
108,ISIC_0027950.jpg,akiec,nv,nv
109,ISIC_0027275.jpg,bkl,nv,nv
110,ISIC_0029457.jpg,nv,nv,nv
111,ISIC_0029729.jpg,nv,nv,nv
112,ISIC_0029308.jpg,bkl,nv,nv
113,ISIC_0031000.jpg,bkl,bkl,bkl
114,ISIC_0031970.jpg,nv,nv,nv
115,ISIC_0028764.jpg,mel,nv,nv
116,ISIC_0027959.jpg,nv,nv,nv
117,ISIC_0032130.jpg,nv,nv,nv
118,ISIC_0032211.jpg,nv,nv,nv
119,ISIC_0027726.jpg,nv,nv,nv
120,ISIC_0030078.jpg,nv,nv,nv
121,ISIC_0032115.jpg,nv,nv,nv
122,ISIC_0024378.jpg,nv,nv,nv
123,ISIC_0031420.jpg,nv,nv,nv
124,ISIC_0032121.jpg,nv,nv,nv
125,ISIC_0030809.jpg,nv,nv,nv
126,ISIC_0028394.jpg,nv,nv,nv
127,ISIC_0031116.jpg,nv,nv,nv
128,ISIC_0024796.jpg,nv,nv,nv
129,ISIC_0029516.jpg,nv,nv,nv
130,ISIC_0033578.jpg,mel,nv,nv
131,ISIC_0032713.jpg,nv,nv,nv
132,ISIC_0027628.jpg,nv,nv,nv
133,ISIC_0033611.jpg,mel,nv,nv
134,ISIC_0026238.jpg,nv,nv,nv
